MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselType,Status,TrackID,Loitering
636090856,2021-02-06 05:01:24,28.90028,-89.324,2.0,198.5,168,70.0,0,1,0
636090856,2021-02-06 05:03:54,28.89804,-89.3258,3.8,202.8,199,70.0,0,1,0
636090856,2021-02-06 05:06:24,28.89567,-89.3282,5.9,228.8,219,70.0,0,1,0
636090856,2021-02-06 05:08:54,28.89273,-89.3322,6.8,227.7,220,70.0,0,1,0
636090856,2021-02-06 05:11:24,28.88946,-89.3362,7.1,226.5,220,70.0,0,1,0
636090856,2021-02-06 05:13:54,28.88592,-89.3403,7.3,224.7,219,70.0,0,1,0
636090856,2021-02-06 05:16:24,28.88239,-89.3446,7.2,225.2,222,70.0,0,1,0
636090856,2021-02-06 05:18:54,28.8789,-89.3485,7.2,230.2,209,70.0,0,1,0
636090856,2021-02-06 05:21:24,28.8754,-89.3509,5.9,210.1,189,70.0,0,1,0
636090856,2021-02-06 05:23:54,28.87184,-89.3524,5.2,193.6,190,70.0,0,1,0
636090856,2021-02-06 05:26:24,28.86888,-89.355,5.6,213.5,229,70.0,0,1,0
636090856,2021-02-06 05:28:54,28.86744,-89.3596,6.6,252.6,249,70.0,0,1,0
636090856,2021-02-06 05:31:24,28.86618,-89.365,7.4,254.6,250,70.0,0,1,0
636090856,2021-02-06 05:33:54,28.86476,-89.3708,7.8,255.9,251,70.0,0,1,0
636090856,2021-02-06 05:36:24,28.86519,-89.3765,7.2,278.8,292,70.0,0,1,0
636090856,2021-02-06 05:38:54,28.86757,-89.3817,7.6,299.4,300,70.0,0,1,0
636090856,2021-02-06 05:41:24,28.87064,-89.3879,10.1,299.4,300,70.0,0,1,0
636090856,2021-02-06 05:43:54,28.87406,-89.395,9.4,299.4,300,70.0,0,1,0
636090856,2021-02-06 05:46:24,28.87676,-89.4008,7.6,296.6,301,70.0,0,1,0
636090856,2021-02-06 05:48:54,28.87865,-89.4056,6.2,293.4,297,70.0,0,1,0
636090856,2021-02-06 05:51:24,28.87997,-89.4098,5.5,286.5,294,70.0,0,1,0
636090856,2021-02-06 05:53:54,28.88102,-89.4138,4.9,283.2,296,70.0,0,1,0
636090856,2021-02-06 05:56:24,28.88208,-89.4176,6.0,291.8,294,70.0,0,1,2
636090856,2021-02-06 05:58:54,28.88407,-89.4239,10.3,294.9,304,70.0,0,1,1
636090856,2021-02-06 06:01:24,28.88952,-89.4293,11.4,332.2,349,70.0,0,1,1
636090856,2021-02-06 06:03:54,28.89411,-89.4265,6.7,52.3,70,70.0,0,1,1
636090856,2021-02-06 06:06:24,28.89394,-89.4229,4.0,106.1,98,70.0,0,1,1
636090856,2021-02-06 06:08:54,28.89233,-89.4194,6.1,116.8,99,70.0,0,1,1
636090856,2021-02-06 06:11:24,28.88871,-89.4159,8.0,143.4,156,70.0,0,1,1
636090856,2021-02-06 06:13:54,28.88342,-89.4193,9.9,215.1,236,70.0,0,1,1
636090856,2021-02-06 06:16:24,28.88351,-89.4251,7.7,275.2,305,70.0,0,1,1
636090856,2021-02-06 06:18:54,28.88599,-89.4293,7.0,312.7,328,70.0,0,1,1
636090856,2021-02-06 06:21:24,28.89087,-89.4321,8.7,343.7,359,70.0,0,1,-1
636090856,2021-02-06 06:23:54,28.89816,-89.4326,11.3,359.7,6,70.0,0,1,0
636090856,2021-02-06 06:26:24,28.90589,-89.4311,11.1,18.2,31,70.0,0,1,0
636090856,2021-02-06 06:28:54,28.91146,-89.4258,10.3,44.8,41,70.0,0,1,0
636090856,2021-02-06 06:31:24,28.91735,-89.421,10.6,33.0,33,70.0,0,1,0
636090856,2021-02-10 22:16:07,28.84112,-95.1153,5.7,261.0,260,70.0,0,5,0
636090856,2021-02-10 22:18:37,28.84021,-95.1209,7.9,259.5,260,70.0,0,5,0
636090856,2021-02-10 22:21:07,28.83913,-95.1275,9.0,259.2,260,70.0,0,5,0
